2018-08-07 16:27:27.118  INFO 23664 --- [http-nio-9998-exec-11] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at: http://localhost:8769
2018-08-07 16:27:27.414  INFO 23664 --- [http-nio-9998-exec-11] c.c.c.ConfigServicePropertySourceLocator : Located environment: name=admin-service, profiles=[pro], label=null, version=null, state=null
2018-08-07 16:28:05.947  INFO 23664 --- [Timer-0] o.s.c.n.t.CommonsInstanceDiscovery       : No apps configured, returning an empty instance list
2018-08-07 16:28:05.947  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Retrieved hosts from InstanceDiscovery: 0
2018-08-07 16:28:05.947  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Found hosts that have been previously terminated: 0
2018-08-07 16:28:05.947  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Hosts up:0, hosts down: 0
2018-08-07 16:29:05.948  INFO 23664 --- [Timer-0] o.s.c.n.t.CommonsInstanceDiscovery       : No apps configured, returning an empty instance list
2018-08-07 16:29:05.948  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Retrieved hosts from InstanceDiscovery: 0
2018-08-07 16:29:05.948  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Found hosts that have been previously terminated: 0
2018-08-07 16:29:05.948  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Hosts up:0, hosts down: 0
2018-08-07 16:30:05.948  INFO 23664 --- [Timer-0] o.s.c.n.t.CommonsInstanceDiscovery       : No apps configured, returning an empty instance list
2018-08-07 16:30:05.948  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Retrieved hosts from InstanceDiscovery: 0
2018-08-07 16:30:05.948  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Found hosts that have been previously terminated: 0
2018-08-07 16:30:05.948  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Hosts up:0, hosts down: 0
2018-08-07 16:30:06.680  INFO 23664 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2018-08-07 16:31:05.949  INFO 23664 --- [Timer-0] o.s.c.n.t.CommonsInstanceDiscovery       : No apps configured, returning an empty instance list
2018-08-07 16:31:05.949  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Retrieved hosts from InstanceDiscovery: 0
2018-08-07 16:31:05.949  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Found hosts that have been previously terminated: 0
2018-08-07 16:31:05.949  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Hosts up:0, hosts down: 0
2018-08-07 16:32:05.949  INFO 23664 --- [Timer-0] o.s.c.n.t.CommonsInstanceDiscovery       : No apps configured, returning an empty instance list
2018-08-07 16:32:05.949  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Retrieved hosts from InstanceDiscovery: 0
2018-08-07 16:32:05.949  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Found hosts that have been previously terminated: 0
2018-08-07 16:32:05.949  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Hosts up:0, hosts down: 0
2018-08-07 16:32:47.086  INFO 23664 --- [http-nio-9998-exec-6] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at: http://localhost:8769
2018-08-07 16:32:47.366  INFO 23664 --- [http-nio-9998-exec-6] c.c.c.ConfigServicePropertySourceLocator : Located environment: name=admin-service, profiles=[pro], label=null, version=null, state=null
2018-08-07 16:33:05.950  INFO 23664 --- [Timer-0] o.s.c.n.t.CommonsInstanceDiscovery       : No apps configured, returning an empty instance list
2018-08-07 16:33:05.950  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Retrieved hosts from InstanceDiscovery: 0
2018-08-07 16:33:05.950  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Found hosts that have been previously terminated: 0
2018-08-07 16:33:05.950  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Hosts up:0, hosts down: 0
2018-08-07 16:34:05.951  INFO 23664 --- [Timer-0] o.s.c.n.t.CommonsInstanceDiscovery       : No apps configured, returning an empty instance list
2018-08-07 16:34:05.951  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Retrieved hosts from InstanceDiscovery: 0
2018-08-07 16:34:05.951  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Found hosts that have been previously terminated: 0
2018-08-07 16:34:05.951  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Hosts up:0, hosts down: 0
2018-08-07 16:35:05.951  INFO 23664 --- [Timer-0] o.s.c.n.t.CommonsInstanceDiscovery       : No apps configured, returning an empty instance list
2018-08-07 16:35:05.951  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Retrieved hosts from InstanceDiscovery: 0
2018-08-07 16:35:05.951  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Found hosts that have been previously terminated: 0
2018-08-07 16:35:05.951  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Hosts up:0, hosts down: 0
2018-08-07 16:35:06.681  INFO 23664 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2018-08-07 16:36:05.952  INFO 23664 --- [Timer-0] o.s.c.n.t.CommonsInstanceDiscovery       : No apps configured, returning an empty instance list
2018-08-07 16:36:05.952  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Retrieved hosts from InstanceDiscovery: 0
2018-08-07 16:36:05.952  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Found hosts that have been previously terminated: 0
2018-08-07 16:36:05.952  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Hosts up:0, hosts down: 0
2018-08-07 16:37:05.952  INFO 23664 --- [Timer-0] o.s.c.n.t.CommonsInstanceDiscovery       : No apps configured, returning an empty instance list
2018-08-07 16:37:05.952  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Retrieved hosts from InstanceDiscovery: 0
2018-08-07 16:37:05.952  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Found hosts that have been previously terminated: 0
2018-08-07 16:37:05.952  INFO 23664 --- [Timer-0] c.n.t.discovery.InstanceObservable       : Hosts up:0, hosts down: 0
2018-08-07 16:37:17.190  INFO 23664 --- [updateTask1] o.apache.http.impl.execchain.RetryExec   : I/O exception (java.net.SocketException) caught when processing request to {}->http://10.4.129.135:9411: Connection reset
2018-08-07 16:37:17.190  INFO 23664 --- [updateTask1] o.apache.http.impl.execchain.RetryExec   : Retrying request to {}->http://10.4.129.135:9411
